x,y,yaw,linear_velocity,angular_velocity,timestamp
0.0,0.0,0.7853981633974483,0.0,0.0,0.4
0.0014138983162350419,0.0014145287382544463,0.785621051241759,0.020000000000000004,0.0022288784431068187,0.5
0.0042411273624578145,0.004244153434251122,0.7858216584602259,0.04000000000000001,0.002006072184669083,0.6
0.008475139117145994,0.008495405539356432,0.7874299595770543,0.06000000000000001,0.0160830111682837,0.7
0.014112276452508208,0.014171908218142501,0.7888776080779573,0.08000000000000002,0.014476485009029982,0.7999999999999999
0.021149445851758892,0.021276712708503218,0.7901807047860423,0.10000000000000002,0.013030967080850608,0.8999999999999999
0.02958404237187174,0.02981237797507151,0.791353731602244,0.12000000000000002,0.011730268162017055,0.9999999999999999
0.03941388372168472,0.03978103982295797,0.7924097148156971,0.14,0.010559832134530822,1.0999999999999999
0.05063715244227561,0.051184470851618,0.7933603718862602,0.16000000000000003,0.009506570705630768,1.2
0.06325234527438407,0.06402413244407126,0.794216243377408,0.18000000000000005,0.008558714911478305,1.3
0.07725822888912262,0.0783012198280722,0.7949868115467376,0.20000000000000007,0.007705681693295219,1.4000000000000001
0.09265380124291589,0.09401670110925213,0.7956806069478357,0.22000000000000008,0.0069379540109819615,1.5000000000000002
0.10943825789544934,0.1111713510584416,0.796305304259446,0.2400000000000001,0.006246973116102783,1.6000000000000003
0.1276109627005069,0.12976578033358308,0.7968678084341336,0.2600000000000001,0.005625041746875947,1.7000000000000004
0.1471714223441845,0.14980046072853972,0.7973743321475498,0.28000000000000014,0.005065237134162182,1.8000000000000005
0.16811926426341983,0.17127574696473988,0.7978304654296329,0.30000000000000016,0.004561332820830266,1.9000000000000006
0.1904542175304697,0.19419189547531424,0.7982412382694991,0.3200000000000002,0.004107728398662136,2.0000000000000004
0.21417609633631168,0.21854908057378047,0.7986111769053322,0.3400000000000002,0.0036993863583307807,2.1000000000000005
0.23928478574837023,0.24434740834921548,0.7989443544383317,0.3600000000000002,0.00333177532999418,2.2000000000000006
0.2657802294558897,0.27158692858621064,0.7992444363448985,0.3800000000000002,0.003000819065668292,2.3000000000000007
0.2936624192501012,0.30026764496986413,0.7995147214029629,0.40000000000000024,0.0027028505806434566,2.400000000000001
0.32293138601644344,0.33038952380287784,0.7997581784960174,0.42000000000000026,0.002434570930544666,2.500000000000001
0.35358719204285743,0.361952501432862,0.7999774797114093,0.4400000000000003,0.002193012153919316,2.600000000000001
0.38562992447192385,0.3949564905626515,0.8001750301072151,0.4600000000000003,0.0019755039580582334,2.700000000000001
0.4190596897456489,0.42940138559433433,0.8003529944840868,0.4800000000000003,0.0017796437687165323,2.800000000000001
0.45387660891032583,0.46528706713837575,0.8005133214643843,0.5000000000000003,0.0016032698029739834,2.9000000000000012
0.4900808136653524,0.5026134058023288,0.8006577651502931,0.5200000000000004,0.0014444368590886825,3.0000000000000013
0.527672443054411,0.5413802653588582,0.8007879046051255,0.5400000000000004,0.0013013945483244527,3.1000000000000014
0.5666516407102284,0.5815875053798882,0.8009051613772894,0.5600000000000004,0.00117256772163854,3.2000000000000015
0.6070185525754156,0.623234983412396,0.8010108152642119,0.5800000000000004,0.0010565388692249655,3.3000000000000016
0.648773325031817,0.666322556761497,0.8011060184935539,0.6000000000000004,0.0009520322934202241,3.4000000000000017
0.6919161033795304,0.7108500839378412,0.8011918084811267,0.6200000000000004,0.000857899875728485,3.5000000000000018
0.7364470306144253,0.7568174258187951,0.8012691193088153,0.6400000000000005,0.0007731082768858144,3.600000000000002
0.7823662464597156,0.8042244465662923,0.8013387920513378,0.6600000000000005,0.0006967274252254185,3.700000000000002
0.8296738866130414,0.8530710143384853,0.8014015840676644,0.6800000000000005,0.0006279201632652942,3.800000000000002
0.878370082175679,0.9033570018273014,0.8014581773612256,0.7000000000000005,0.0005659329356118015,3.900000000000002
0.928454959235021,0.9550822866496261,0.801509186102537,0.7200000000000005,0.0005100874131138688,4.000000000000002
0.9799286385754146,1.0082467516160145,0.8015551633984217,0.7400000000000005,0.0004597729588473598,4.100000000000001
1.0327912354959008,1.0628502848974992,0.8015966073835253,0.7600000000000006,0.00041443985103617464,4.200000000000001
1.087042859716402,1.1188927801081654,0.8016339667021889,0.7800000000000006,0.00037359318663554575,4.300000000000001
1.1426836153565307,1.1763741363186402,0.8016676454418878,0.8000000000000006,0.00033678739698972393,4.4
1.1997136009734732,1.2352942580134512,0.8016980075732798,0.8200000000000006,0.0003036213139195887,4.5
1.258132909647384,1.2956530550033047,0.8017253809463624,0.8400000000000006,0.0002737337308253984,4.6
1.3179416291044506,1.3574504423016842,0.8017500608872603,0.8600000000000007,0.0002467994089796477,4.699999999999999
1.3791398418692842,1.4206863399737357,0.8017723134356827,0.8800000000000007,0.00022252548422319052,4.799999999999999
1.441727625439576,1.4853606729641755,0.8017923782590617,0.9000000000000007,0.00020064823379062346,4.899999999999999
1.505705052477087,1.5514733709098802,0.8018104712757675,0.9200000000000007,0.0001809301670587793,4.999999999999998
1.5710721910099925,1.6190243679419,0.8018267870165344,0.9400000000000007,0.00016315740766925657,5.099999999999998
1.6378291046424451,1.688013602480843,0.801841500750308,0.9600000000000007,0.0001471373377364138,5.1999999999999975
1.7059758527679216,1.7584410170288929,0.8018547703980916,0.9800000000000008,0.00013269647783609173,5.299999999999997
1.77551249078354,1.8303065579611426,0.8018667382560006,1.0000000000000007,0.00011967857909045421,5.399999999999997
1.8464390703030544,1.903610175318419,0.8018775325466073,1.0200000000000007,0.00010794290606730428,5.4999999999999964
