timestamp,algorithm,scenario,iteration,total_distance,collision_count,min_obstacle_distance,reached_goal,execution_time,operation_time
20250109_024128,SAC_DTP,scenario_11,1,120.99492201538308,2,0.4682422639513617,False,14.292441844940186,183.09999999999704
20250109_024157,SAC,scenario_11,1,109.9511146574755,3,0.3960457455595069,False,22.54869794845581,296.10000000000304
20250109_024224,SAC_DTP,scenario_11,2,110.48103493146998,2,0.4474693884722832,False,21.99302840232849,293.20000000000266
20250109_024243,SAC,scenario_11,2,120.7955838578359,4,0.3791471703006287,False,14.503682136535645,183.9999999999971
20250109_024301,SAC_DTP,scenario_11,3,121.2951759827526,3,0.3755375971022818,False,13.893818855285645,183.49999999999704
20250109_024329,SAC,scenario_11,3,109.85960609054048,4,0.4438230504631428,False,22.212217330932617,293.0000000000028
20250109_024349,SAC_DTP,scenario_11,4,114.12633981825536,1,0.613573668403536,False,15.888641595840454,206.9999999999972
20250109_024408,SAC,scenario_11,4,121.05730005651549,3,0.4596474348210242,False,14.412489414215088,187.5999999999973
20250109_024420,SAC_DTP,scenario_11,5,120.55860947758494,1,0.337973409156037,False,9.422262907028198,119.79999999999812
20250109_024449,SAC,scenario_11,5,111.95171404315596,2,0.5139702880475847,False,22.81994342803955,293.60000000000286
20250109_024501,SAC_DTP,scenario_11,6,117.6553182881556,1,0.310541782292184,False,9.094667196273804,117.69999999999824
20250109_024512,SAC,scenario_11,6,121.54473732840924,0,1.13172641090714,False,8.884700536727905,115.59999999999816
20250109_024524,SAC_DTP,scenario_11,7,112.616412465837,2,0.3979039878093676,False,8.509909868240356,109.19999999999864
20250109_024551,SAC,scenario_11,7,110.78686230876048,2,0.4687114373372773,False,22.27220368385315,292.8000000000028
20250109_024619,SAC_DTP,scenario_11,8,111.25626970957398,2,0.4003176214990107,False,22.56453514099121,293.90000000000293
20250109_024648,SAC,scenario_11,8,115.80346971381704,4,0.391270850523649,False,22.72892546653748,292.700000000003
20250109_024716,SAC_DTP,scenario_11,9,111.49802970688664,2,0.5053509234817352,False,22.83862066268921,293.50000000000296
20250109_024734,SAC,scenario_11,9,119.69675609993445,2,0.4577395976717838,False,14.1366229057312,183.799999999997
20250109_024753,SAC_DTP,scenario_11,10,119.34348750915164,2,0.477798911131702,False,14.70798659324646,185.9999999999972
20250109_024821,SAC,scenario_11,10,112.9499290929979,3,0.4936398719746607,False,22.502560138702396,294.100000000003
20250109_025738,SAC_DTP,scenario_14,1,112.5832703123223,1,0.236636239189486,False,9.047312259674072,117.29999999999885
20250109_025750,SAC,scenario_14,1,111.37616952016948,2,0.5205516553552488,False,8.971012830734253,115.69999999999888
20250109_025802,SAC_DTP,scenario_14,2,109.13720801202122,3,0.2985112963376379,False,9.179112672805786,116.19999999999906
20250109_025814,SAC,scenario_14,2,111.72175988400672,2,0.3071563356419395,False,9.079639434814451,115.69999999999906
20250109_025826,SAC_DTP,scenario_14,3,115.0081945537292,0,1.5974348741850437,False,8.88204288482666,115.29999999999872
20250109_025839,SAC,scenario_14,3,106.65041278842308,2,0.2896028781050325,False,10.26908016204834,134.09999999999891
20250109_025853,SAC_DTP,scenario_14,4,107.98838563641633,2,0.2298531881190576,False,10.65899658203125,137.59999999999883
20250109_025908,SAC,scenario_14,4,108.30183051875832,4,0.1280321169731438,False,12.147516012191772,151.4999999999988
20250109_025921,SAC_DTP,scenario_14,5,123.73710764505016,0,2.241197000230564,False,9.53636884689331,122.89999999999844
20250109_025934,SAC,scenario_14,5,125.2853615306572,0,2.300924981553594,False,9.828680515289308,125.69999999999828
20250109_025948,SAC_DTP,scenario_14,6,116.21844013633266,4,0.187234172861569,False,11.237609386444092,144.49999999999736
20250109_030001,SAC,scenario_14,6,123.2940386216372,1,2.8428820489325664,False,9.48590874671936,124.49999999999834
20250109_030013,SAC_DTP,scenario_14,7,116.80722641736928,1,0.0322168946332828,False,9.241158485412598,119.4999999999986
20250109_030025,SAC,scenario_14,7,122.22482417719338,2,3.070388284528864,False,9.449726343154907,124.09999999999836
20250109_030040,SAC_DTP,scenario_14,8,118.98915281998433,2,0.0705473621524433,False,11.035956621170044,145.09999999999755
20250109_030051,SAC,scenario_14,8,108.86200522397256,1,0.402364819549771,False,8.879398345947266,115.89999999999904
20250109_030103,SAC_DTP,scenario_14,9,114.09717416476455,1,0.4125432964144495,False,8.91913652420044,114.89999999999873
20250109_030116,SAC,scenario_14,9,123.29572210350584,2,2.5602236834011265,False,9.67449951171875,123.3999999999984
20250109_030130,SAC_DTP,scenario_14,10,122.9110497335704,2,0.0918377330688853,False,10.858234643936155,142.9999999999972
20250109_030144,SAC,scenario_14,10,121.55865821075578,6,0.2980602252492395,False,10.767045497894289,141.39999999999725
20250109_030611,SAC_DTP,scenario_16,1,107.80076436262316,2,0.5056924858837444,False,8.509416818618774,111.79999999999866
20250109_030623,SAC,scenario_16,1,112.8477092049005,6,0.9393009630676454,False,8.666085720062256,113.39999999999834
20250109_030634,SAC_DTP,scenario_16,2,117.10645184502908,1,0.8895938563787432,False,8.449266910552979,110.3999999999985
20250109_030646,SAC,scenario_16,2,114.85612306314516,4,0.975678667994154,False,8.734524965286255,111.69999999999833
20250109_030657,SAC_DTP,scenario_16,3,109.97707155438552,2,0.4241754255302421,False,8.455271482467651,109.79999999999842
20250109_030708,SAC,scenario_16,3,111.93809158765455,3,1.0412859405789907,False,8.909380435943604,112.99999999999822
20250109_030720,SAC_DTP,scenario_16,4,115.06780563787429,1,0.6678802521880722,False,8.503561973571777,111.09999999999836
20250109_030731,SAC,scenario_16,4,114.04941216906415,1,0.9984696085713692,False,8.532433032989502,111.7999999999983
20250109_030743,SAC_DTP,scenario_16,5,111.90512799319676,0,1.0480599339415315,False,8.889234066009521,113.09999999999836
20250109_030754,SAC,scenario_16,5,112.2996007381281,1,0.9248176947200888,False,8.619407653808594,111.3999999999984
20250109_030806,SAC_DTP,scenario_16,6,112.79456917597552,1,0.8357212847963571,False,9.150461673736572,113.49999999999834
20250109_030817,SAC,scenario_16,6,114.60369615666224,1,0.7445442228329072,False,8.457709789276123,111.09999999999842
20250109_030829,SAC_DTP,scenario_16,7,113.8054160022478,1,0.7555911149748095,False,8.563933610916138,110.1999999999984
20250109_030841,SAC,scenario_16,7,117.61098921880212,2,0.9604965915086472,False,9.21386694908142,118.89999999999849
20250109_030853,SAC_DTP,scenario_16,8,111.32129046715364,0,1.0096755518633411,False,8.553342819213867,111.4999999999984
20250109_030904,SAC,scenario_16,8,111.72576837504636,1,0.94130330092548,False,9.072778224945068,117.49999999999868
20250109_030917,SAC_DTP,scenario_16,9,108.43007767464302,1,0.0889477925205614,False,9.988170385360718,128.8999999999988
20250109_030929,SAC,scenario_16,9,111.80807504305696,2,0.911451695233237,False,8.777383804321289,113.09999999999836
20250109_030942,SAC_DTP,scenario_16,10,116.63302613107676,0,1.0477797966479223,False,9.42233419418335,120.89999999999854
20250109_030953,SAC,scenario_16,10,111.12953331109678,2,1.0332444210449172,False,8.738171815872192,111.69999999999838
20250109_031418,SAC_DTP,scenario_18,1,119.53573830652093,2,0.6131517087250337,False,14.770404577255247,192.79999999999768
20250109_031429,SAC,scenario_18,1,113.78674627007004,2,0.3141045648380099,False,8.782632112503052,115.99999999999866
20250109_031442,SAC_DTP,scenario_18,2,114.0214133282042,0,2.1732450011632576,False,9.206318855285645,116.29999999999863
20250109_031455,SAC,scenario_18,2,127.15959470318234,1,0.271876699133434,False,10.31494402885437,132.19999999999803
20250109_031507,SAC_DTP,scenario_18,3,114.0267884910979,0,2.717771041935717,False,9.335178136825562,116.89999999999856
20250109_031519,SAC,scenario_18,3,115.94988558483264,1,0.0361796942590762,False,9.14358687400818,118.99999999999856
20250109_031531,SAC_DTP,scenario_18,4,116.0919382502644,1,0.5106776019998236,False,9.133754253387451,118.19999999999855
20250109_031550,SAC,scenario_18,4,121.67243139520508,4,0.4527994077748974,False,14.848475456237791,188.79999999999728
20250109_031602,SAC_DTP,scenario_18,5,114.03483852696712,0,1.7587575517406822,False,9.059348106384276,115.99999999999864
20250109_031614,SAC,scenario_18,5,114.72685052284488,2,0.5917421543086759,False,9.148235082626345,117.9999999999986
20250109_031626,SAC_DTP,scenario_18,6,114.5020560886865,1,0.3609863998813717,False,8.896985530853271,115.89999999999868
20250109_031638,SAC,scenario_18,6,118.50642310551704,2,0.7930067996205844,False,9.054728031158447,118.09999999999856
20250109_031650,SAC_DTP,scenario_18,7,117.14728544603692,1,0.6294248773364544,False,9.094468355178831,119.7999999999985
20250109_031702,SAC,scenario_18,7,118.0232347944466,1,0.2294197129341851,False,9.351829767227173,121.59999999999846
20250109_031715,SAC_DTP,scenario_18,8,113.6966772981354,0,2.1260494679156765,False,9.089064598083496,116.59999999999862
20250109_031727,SAC,scenario_18,8,115.2799007865945,1,0.2783589455819656,False,9.615461349487305,123.2999999999988
20250109_031739,SAC_DTP,scenario_18,9,114.00314531241118,0,2.3061455928389605,False,9.17388105392456,116.7999999999986
20250109_031751,SAC,scenario_18,9,115.76429654913164,2,0.4384479019345054,False,8.943626165390015,116.89999999999856
20250109_031810,SAC_DTP,scenario_18,10,125.08894063522622,2,0.4208889624617957,False,14.759576320648192,191.6999999999972
20250109_031822,SAC,scenario_18,10,116.15182104190058,1,0.7897524398156162,False,9.172626733779907,121.19999999999862
20250109_032803,SAC_DTP,scenario_21,1,126.69789019047312,0,1.243236312978039,False,9.710622072219849,123.59999999999862
20250109_032815,SAC,scenario_21,1,131.27854437171283,1,0.210145710927846,False,9.55416202545166,125.5999999999984
20250109_032828,SAC_DTP,scenario_21,2,125.86882020948347,1,0.3337573678934259,False,9.561595678329468,120.5999999999986
20250109_032841,SAC,scenario_21,2,130.87516393943793,1,0.5218409306377245,False,9.63820505142212,125.4999999999984
20250109_032854,SAC_DTP,scenario_21,3,141.84920126567332,0,1.3676080178733212,False,10.501723051071169,136.2999999999979
20250109_032908,SAC,scenario_21,3,135.84577206702315,0,1.134011839060861,False,10.494811534881592,128.69999999999817
20250109_032921,SAC_DTP,scenario_21,4,130.14818996144322,1,0.1004079897250627,False,9.69179654121399,124.79999999999848
20250109_032933,SAC,scenario_21,4,129.70792886145543,1,0.0418631277567723,False,9.612287998199465,124.5999999999985
20250109_032946,SAC_DTP,scenario_21,5,130.91562417028976,1,0.2768630843917328,False,9.846893310546877,125.2999999999984
20250109_032959,SAC,scenario_21,5,130.68315022469835,2,0.658684654849411,False,9.494615077972412,124.69999999999838
20250109_033011,SAC_DTP,scenario_21,6,130.50268594032713,1,0.4543828675533529,False,9.567839860916138,124.69999999999844
20250109_033024,SAC,scenario_21,6,129.6885742071635,3,0.8116181337374951,False,9.44211745262146,123.79999999999848
20250109_033037,SAC_DTP,scenario_21,7,131.85103654133195,1,0.5240257223546383,False,9.558347463607788,125.89999999999836
20250109_033049,SAC,scenario_21,7,125.75374657461091,2,0.5997578791049785,False,9.623351812362673,120.9999999999986
20250109_033102,SAC_DTP,scenario_21,8,131.45882967131013,1,0.3602837314308342,False,9.675536155700684,125.5999999999984
20250109_033114,SAC,scenario_21,8,117.4803376233796,2,0.8312717177446569,False,8.979860544204712,118.899999999999
20250109_033127,SAC_DTP,scenario_21,9,133.8965369680923,1,0.4613519103363805,False,9.872449159622192,126.89999999999831
20250109_033144,SAC,scenario_21,9,134.54801757146825,2,0.1179325781991365,False,13.463860034942629,173.19999999999877
20250109_033158,SAC_DTP,scenario_21,10,138.98718055228406,0,1.351248642717139,False,10.460656642913818,133.69999999999797
20250109_033211,SAC,scenario_21,10,136.13657587333273,1,0.8282712659865189,False,9.842144012451172,128.69999999999817
20250109_033549,SAC_DTP,scenario_23,1,124.56005388546492,0,3.642074512001316,False,10.335050582885742,130.69999999999885
20250109_033603,SAC,scenario_23,1,124.99401227280433,0,3.9357991265720367,False,10.096076965332031,131.89999999999858
20250109_033616,SAC_DTP,scenario_23,2,127.07230540462642,0,2.8709083263685367,False,9.914762020111084,130.19999999999868
20250109_033629,SAC,scenario_23,2,126.9519904133966,0,2.4046704497625564,False,10.0645649433136,131.79999999999862
20250109_033642,SAC_DTP,scenario_23,3,127.2445978058944,0,2.870454944074972,False,10.23709225654602,131.3999999999986
20250109_033655,SAC,scenario_23,3,122.96231294774194,0,2.132062489667588,False,9.89100432395935,129.999999999999
20250109_033708,SAC_DTP,scenario_23,4,129.62020967334473,0,3.7611438810233846,False,9.922232389450071,130.09999999999854
20250109_033721,SAC,scenario_23,4,122.90106040394656,0,1.2900867399053584,False,10.060081958770752,130.299999999999
20250109_033735,SAC_DTP,scenario_23,5,123.1445629278232,0,2.715344193582604,False,10.425939321517944,130.99999999999892
20250109_033748,SAC,scenario_23,5,123.86601576040874,0,1.7087576363431094,False,9.969564437866213,129.8999999999988
20250109_033801,SAC_DTP,scenario_23,6,123.15152330708104,0,3.259355383311301,False,10.039088249206545,130.69999999999885
20250109_033814,SAC,scenario_23,6,123.87569894181036,0,1.8494584447564124,False,9.929089784622192,129.99999999999898
20250109_033828,SAC_DTP,scenario_23,7,126.78284170933514,0,3.903156710733349,False,10.191122055053713,131.59999999999863
20250109_033841,SAC,scenario_23,7,120.88032621897784,0,2.740866815281597,False,10.052456140518188,131.89999999999893
20250109_033854,SAC_DTP,scenario_23,8,133.93639799296278,0,1.3813821396255732,False,10.061764001846312,132.0999999999987
20250109_033907,SAC,scenario_23,8,124.74073422269744,0,2.325680953171187,False,10.177926301956177,130.59999999999877
20250109_033923,SAC_DTP,scenario_23,9,112.88315471433074,2,0.065800106814658,False,11.712559461593628,152.59999999999897
20250109_033946,SAC,scenario_23,9,114.49503097755743,2,0.0599220167279008,False,18.862499237060547,244.39999999999844
20250109_033959,SAC_DTP,scenario_23,10,114.26601452556972,0,1.0299744754987628,False,9.627063274383543,125.29999999999946
20250109_034012,SAC,scenario_23,10,121.01443836727488,0,2.6589018279847583,False,10.046497106552124,131.099999999999
20250109_034507,SAC_DTP,scenario_25,1,121.20586108227344,0,1.5869907034139346,False,9.421384334564207,121.49999999999874
20250109_034530,SAC,scenario_25,1,121.37245222278904,4,0.4805812238480595,False,18.432917594909668,233.99999999999807
20250109_034543,SAC_DTP,scenario_25,2,122.18114296640758,0,1.002670333111658,False,9.580784797668455,120.29999999999885
20250109_034555,SAC,scenario_25,2,122.70897317610375,0,1.1856762589709349,False,9.272062301635742,120.0999999999988
20250109_034607,SAC_DTP,scenario_25,3,123.68742363394952,0,1.5142378128263216,False,9.330055475234984,119.8999999999988
20250109_034619,SAC,scenario_25,3,121.269109707264,2,1.779135280689112,False,9.06571626663208,117.59999999999886
20250109_034632,SAC_DTP,scenario_25,4,123.68518714634072,0,1.2677495485892658,False,9.323227643966677,121.19999999999884
20250109_034644,SAC,scenario_25,4,122.16728037642925,3,1.272483497708958,False,9.488954067230225,120.8999999999987
20250109_034656,SAC_DTP,scenario_25,5,122.2812222881339,0,1.4996210911747236,False,9.307275772094728,119.1999999999988
20250109_034709,SAC,scenario_25,5,120.49567442336485,0,1.385321218159995,False,9.307430028915403,120.99999999999878
20250109_034721,SAC_DTP,scenario_25,6,122.53168187108348,0,1.0374532291849854,False,9.457748174667358,122.89999999999884
20250109_034735,SAC,scenario_25,6,137.95139502841192,0,3.1723791660960847,False,10.615338325500488,138.6999999999982
20250109_034747,SAC_DTP,scenario_25,7,121.74056604895428,0,1.76009886036304,False,9.775923490524292,121.99999999999886
20250109_034800,SAC,scenario_25,7,120.86689860653216,0,1.8330339524759984,False,8.98764705657959,117.19999999999882
20250109_034812,SAC_DTP,scenario_25,8,123.61640289914298,0,1.284866749900132,False,9.352420091629028,118.09999999999872
20250109_034824,SAC,scenario_25,8,122.69583619355602,0,1.0949065466134154,False,9.265162467956545,120.89999999999884
20250109_034836,SAC_DTP,scenario_25,9,120.82556107225362,1,0.9929631262825704,False,9.256217956542969,119.79999999999885
20250109_034848,SAC,scenario_25,9,114.15799018180478,0,1.3515769630746022,False,9.260491609573364,116.89999999999934
20250109_034901,SAC_DTP,scenario_25,10,121.83748440461186,0,1.4064300008250212,False,9.949183225631714,119.19999999999888
20250109_034914,SAC,scenario_25,10,120.77749308607108,0,1.1830612508969256,False,9.34118390083313,121.39999999999884
20250109_034925,SAC_DTP,scenario_26,1,113.1054007914386,1,0.918424052473129,False,8.58265471458435,111.29999999999828
