,total_distance,total_distance,collision_count,collision_count,min_obstacle_distance,min_obstacle_distance,operation_time,operation_time,execution_time,execution_time
,mean,std,mean,std,mean,std,mean,std,mean,std
algorithm,,,,,,,,,,
DDPG,111.9868824341804,2.7419486874909866,0.0,0.0,,,113.32299999999928,12.97576046538945,8.68184208393097,1.100810767344227
DDPG_DTP,111.95120815178139,3.5004713163190306,0.0,0.0,,,114.91433333333266,15.811335236279477,8.857934441566467,1.3503694586145125
DWA,110.2706839770248,3.2375424209402777,0.0,0.0,,,88.87733333333325,4.4530593383945964,7.311656685670217,0.39578843360927934
SAC,123.96525223791427,6.107036424321271,0.0,0.0,,,137.78633333333173,32.61179218534642,10.63063816308975,2.5348404725271925
SAC_DTP,124.22359437980799,5.930484884894792,0.0,0.0,,,134.3046666666651,29.182275647283202,10.419355789025625,2.319327489865061
